Amersfoort;3800–3836;Amersfoort;Utrecht;
Ammerstol;2865–2865;Krimpenerwaard;Zuid-Holland;
Ammerzoden;5324–5324;Maasdriel;Gelderland;
Amstelhoek;1427–1427;De Ronde Venen;Utrecht;
Amstelveen;1180–1189;Amstelveen;Noord-Holland;
Amstenrade;6436–6436;Schinnen;Limburg;
Amsterdam;1000–1099;Amsterdam;Noord-Holland;
Amsterdam-Duivendrecht;1099, 1114;Ouder-Amstel;Noord-Holland;
Amsterdam-Zuidoost;1100–1108;Amsterdam;Noord-Holland;
Amsweer;9937–9937;Delfzijl;Groningen;
Andel;4280–4281;Woudrichem;Noord-Brabant;
Andelst;6673–6673;Overbetuwe;Gelderland;
Anderen;9465–9465;Aa en Hunze;Drenthe;
Andijk;1619–1619;Medemblik;Noord-Holland;
Ane;7784–7784;Hardenberg;Overijssel;
Anerveen;7788–7788;Hardenberg;Overijssel;
Anevelde;7785–7785;Hardenberg;Overijssel;
Angeren;6687–6687;Lingewaard;Gelderland;
Angerlo;6986–6986;Zevenaar;Gelderland;
Anholt;7935–7935;De Wolden;Drenthe;
Anjum;9133–9133;Dongeradeel;Fryslân;
Ankeveen;1244–1244;Wijdemeren;Noord-Holland;
Ankum;7722–7722;Dalfsen;Overijssel;
Anloo;9467–9467;Aa en Hunze;Drenthe;
Anna Jacobapolder;4675–4675;Tholen;Zeeland;
Annabuorren;8632–8632;Súdwest-Fryslân;Fryslân;
Annen;9468–9468;Aa en Hunze;Drenthe;
Annendaal;6061–6061;Roerdalen;Limburg;
Annerveenschekanaal;9654–9654;Aa en Hunze;Drenthe;
Anneville;4858–4858;Alphen-Chaam;Noord-Brabant;
Anreep;9404–9404;Assen;Drenthe;
Ansen;7964–7964;De Wolden;Drenthe;
Apeldoorn;7300–7336;Apeldoorn;Gelderland;
Apenhuizen;7437–7437;Deventer;Overijssel;
Aperloo;8084–8084;Elburg;Gelderland;
Appel;3862–3862;Nijkerk;Gelderland;
Appelscha;8426–8426;Ooststellingwerf;Fryslân;
Appeltern;6629–6629;West Maas en Waal;Gelderland;
Appen;7383–7383;Voorst;Gelderland;
Appingedam;9900–9903;Appingedam;Groningen;
Arcen;5944–5944;Venlo;Limburg;
Archem;8148–8148;Ommen;Overijssel;
Arendnest;5427–5427;Boekel;Noord-Brabant;
Arensgenhout;6336–6336;Nuth;Limburg;
Arkel;4240–4241;Giessenlanden;Zuid-Holland;
Arkens;8802–8802;Franekeradeel;Fryslân;
Armweide;7963–7963;De Wolden;Drenthe;
Arnemuiden;4340–4341;Middelburg;Zeeland;
Arnhem;6800–6845;Arnhem;Gelderland;
Arnoud;2182–2182;Hillegom;Zuid-Holland;
Arriën;7735–7735;Ommen;Overijssel;
Arriërveld;7735–7735;Ommen;Overijssel;
Arum;8822–8822;Súdwest-Fryslân;Fryslân;
Arwerd;9904–9904;Delfzijl;Groningen;
Asbroek;6089–6089;Leudal;Limburg;
Asch;4115–4115;Buren;Gelderland;
Asenray;6042–6042;Roermond;Limburg;
Asperen;4147–4147;Lingewaal;Gelderland;
Asschat;3831–3831;Leusden;Utrecht;
Assel;7346–7346;Apeldoorn;Gelderland;
Asselt;6071–6071;Roermond;Limburg;
Assen;9400–9408;Assen;Drenthe;
Assendelft;1566–1567;Zaanstad;Noord-Holland;
Asten;5720–5721;Asten;Noord-Brabant;
Atzeburen;8762–8762;Súdwest-Fryslân;Fryslân;
Augsbuurt-Lutjewoude;9292–9292;Kollumerland en Nieuwkruisland;Fryslân;
Augustinusga;9284–9284;Achtkarspelen;Fryslân;
Austerlitz;3710–3711;Zeist;Utrecht;
Avenhorn;1633–1633;Koggenland;Noord-Holland;
Averlo;7431–7431;Deventer;Overijssel;
Avest;7156–7156;Berkelland;Gelderland;
Axel;4570–4571;Terneuzen;Zeeland;
Axelsche Sassing;4571–4571;Terneuzen;Zeeland;
