Arkel;4240?241;Giessenlanden;Zuid-Holland
Arkens;8802?802;Franekeradeel;Frysl?
Armweide;7963?963;De Wolden;Drenthe
Arnemuiden;4340?341;Middelburg;Zeeland
Arnhem;6800?845;Arnhem;Gelderland
Arnoud;2182?182;Hillegom;Zuid-Holland
Arri?;7735?735;Ommen;Overijssel
Arri?veld;7735?735;Ommen;Overijssel
Arum;8822?822;S?west-Frysl?;Frysl?
Arwerd;9904?904;Delfzijl;Groningen
Asbroek;6089?089;Leudal;Limburg
Asch;4115?115;Buren;Gelderland
Asenray;6042?042;Roermond;Limburg
Asperen;4147?147;Lingewaal;Gelderland
Asschat;3831?831;Leusden;Utrecht
Assel;7346?346;Apeldoorn;Gelderland
Asselt;6071?071;Roermond;Limburg
Assen;9400?408;Assen;Drenthe
Assendelft;1566?567;Zaanstad;Noord-Holland
Asten;5720?721;Asten;Noord-Brabant
Atzeburen;8762?762;S?west-Frysl?;Frysl?
Augsbuurt-Lutjewoude;9292?292;Kollumerland en Nieuwkruisland;Frysl?
Augustinusga;9284?284;Achtkarspelen;Frysl?
Austerlitz;3710?711;Zeist;Utrecht
Avenhorn;1633?633;Koggenland;Noord-Holland
Averlo;7431?431;Deventer;Overijssel
Avest;7156?156;Berkelland;Gelderland
Axel;4570?571;Terneuzen;Zeeland
Axelsche Sassing;4571?571;Terneuzen;Zeeland
Azelo;7495?495;Hof van Twente;Overijssel
Azewijn;7045?045;Montferland;Gelderland
;;;
Baaiduinen;8884?884;Terschelling;Frysl?
Baaium;8840?841;Littenseradiel;Frysl?
Baak;7223?223;Bronckhorst;Gelderland
Baakhoven;6114?114;Echt-Susteren;Limburg
Baaks;6369?369;Simpelveld;Limburg
Baakwoning;2671?671;Westland;Zuid-Holland
Baal;6685?685;Lingewaard;Gelderland
Baalhoek;4587?587;Hulst;Zeeland
Baambrugge;1396?396;De Ronde Venen;Utrecht
Baambrugse Zuwe;3645?645;De Ronde Venen;Utrecht
Baamsum;9947?947;Delfzijl;Groningen
Baard;8834?834;Littenseradiel;Frysl?
Baarderburen;8822?822;S?west-Frysl?;Frysl?
Baarland;4435?435;Borsele;Zeeland
Baarle-Nassau;5110?111;Baarle-Nassau;Noord-Brabant
Baarlo;5990?991;Peel en Maas;Limburg
Baarlo;8372?372;Steenwijkerland;Overijssel
Baarlo;8064?064;Zwartewaterland;Overijssel
Baarn;3740?744;Baarn;Utrecht
Baars;8336?336;Steenwijkerland;Overijssel
Baarschot;5756?756;Deurne;Noord-Brabant
Baarschot;5087?087;Hilvarenbeek;Noord-Brabant
Baarschot;4849?849;Oosterhout;Noord-Brabant
Baarsdorp;4444?444;Borsele;Zeeland
Baarstraat;6017?017;Maasgouw;Limburg
Babberich;6909?909;Zevenaar;Gelderland
Baburen;8765?765;S?west-Frysl?;Frysl?
Babyloni?broek;4269?269;Aalburg;Noord-Brabant
Badhoevedorp;1170?171;Haarlemmermeer;Noord-Holland
Baexem;6095?095;Leudal;Limburg
Baflo;9953?953;Winsum;Groningen
Bahr;6988?988;Zevenaar;Gelderland
Bakel;5760?761;Gemert-Bakel;Noord-Brabant
Bakelsebrug;5761?761;Gemert-Bakel;Noord-Brabant
Bakendorp;4435?435;Borsele;Zeeland
Bakertand;5026?026;Tilburg;Noord-Brabant
Bakh?en;8574?574;De Fryske Marren;Frysl?
Bakkerom;9362?362;Marum;Groningen
Bakkersdam;4501?501;Sluis;Zeeland
Bakkeveen;9243?243;Opsterland;Frysl?
Balgoij;6613?613;Wijchen;Gelderland
Bakkum;1901?901;Castricum;Noord-Holland
Balhofstede;4515?515;Sluis;Zeeland
Balinge;9437?437;Midden-Drenthe;Drenthe
Balk;8560?561;De Fryske Marren;Frysl?
Balkbrug;7707?707;Hardenberg;Overijssel
Ballast;7741?741;Coevorden;Drenthe
Balleman;4855?855;Alphen-Chaam;Noord-Brabant
Ballingbuur;8511?511;De Fryske Marren;Frysl?
Balloo;9458?458;Aa en Hunze;Drenthe
Ballum;9162?162;Ameland;Frysl?
Balmahuizen;9884?884;Zuidhorn;Groningen
Baneheide;6353?353;Simpelveld;Limburg
Banholt;6262?262;Eijsden-Margraten;Limburg
Bankert;5763?763;Gemert-Bakel;Noord-Brabant
Bant;8314?314;Noordoostpolder;Flevoland
Bantega;8538?538;De Fryske Marren;Frysl?
Barchem;7244?244;Lochem;Gelderland
Barendrecht;2990?993;Barendrecht;Zuid-Holland
Barendrechtse Veer;2992?992;Barendrecht;Zuid-Holland
Bareveld;9512?512;Aa en Hunze;Drenthe
Barger-Compascuum;7884?884;Emmen;Drenthe
Barger-Erfscheidenveen (?);7814?833;Emmen;Drenthe
Barger-Oosterveen;7891?891;Emmen;Drenthe
Barger-Oosterveld ?;7826?885;Emmen;Drenthe
Barlage;9591?591;Stadskanaal;Groningen
Barlaque;4793?793;Moerdijk;Noord-Brabant
Barlo;7122?122;Aalten;Gelderland
Barneveld;3770?773;Barneveld;Gelderland
Barnflair;9561?561;Vlagtwedde;Groningen
Barrier;6343?343;Voerendaal;Limburg
Barsbeek;8326?326;Steenwijkerland;Overijssel
Barsingerhorn;1768?768;Hollands Kroon;Noord-Holland
Bartlehiem;9178?074;Ferwerderadiel;Frysl?
Bartlehiem;9051?051;Leeuwarderadeel;Frysl?
Bartlehiem;9064?064;Tytsjerksteradiel;Frysl?
Bartlehiem;9091?091;Tytsjerksteradiel;Frysl?
Basse;8342?342;Steenwijkerland;Overijssel
Basserveld;8338?338;Steenwijkerland;Overijssel
Batenburg;6634?634;Wijchen;Gelderland
Bath;4411?411;Reimerswaal;Zeeland
Bathmen;7437?437;Deventer;Overijssel
Battenoord;3244?244;Goeree-Overflakkee;Zuid-Holland
Bavel;4854?854;Breda;Noord-Brabant
Bavinkel;7607?607;Almelo;Overijssel
Bazuin;7921?921;De Wolden;Drenthe
Bears;9025?025;Littenseradiel;Frysl?
Beckum;7554?554;Hengelo;Overijssel
Bedaf;5406?406;Uden;Noord-Brabant
Bedum;9780?781;Bedum;Groningen
Beegden;6099?099;Maasgouw;Limburg
Beek;6190?191;Beek;Limburg
Beek;7037?037;Montferland;Gelderland
Beek;6573?573;Groesbeek;Gelderland
Beek;5815?815;Venray;Limburg
Beek en Donk;5740?741;Laarbeek;Noord-Brabant
Beekbergen;7360?361;Apeldoorn;Gelderland
Beekdorp;7597?597;Dinkelland;Overijssel
Beekheuvel;5853?853;Bergen;Limburg
Beekkant;6095?095;Leudal;Limburg
Beemdkant;5737?737;Laarbeek;Noord-Brabant
Beemte;7341?341;Apeldoorn;Gelderland
Beerenplaat;3209?209;Nissewaard;Zuid-Holland
Beers;5437?437;Cuijk;Noord-Brabant
Beersterhoogen;9687?687;Oldambt;Groningen
Beerta;9686?686;Oldambt;Groningen
Beertsenhoven;6321?321;Gulpen-Wittem;Limburg
Beerze;7736?736;Ommen;Overijssel
Beerzerveld;7685?685;Ommen;Overijssel
Beesd;4153?153;Geldermalsen;Gelderland
Beesel;5954?954;Beesel;Limburg
Beetgum;9044?044;Menameradiel;Frysl?
Beetgumermolen;9045?045;Menameradiel;Frysl?
Beets;1475?475;Zeevang;Noord-Holland
Beetsterzwaag;9244?244;Opsterland;Frysl?
Behelp;5725?725;Asten;Noord-Brabant
Beilen;9410?412;Midden-Drenthe;Drenthe
Beilervaart;9411?411;Midden-Drenthe;Drenthe
Beinsdorp;2144?144;Haarlemmermeer;Noord-Holland
Beinum;6983?983;Doesburg;Gelderland
Bekelaar;5731?731;Geldrop-Mierlo;Noord-Brabant
Bekveld;7255?255;Bronckhorst;Gelderland
Beldert;4315?315;Schouwen-Duiveland;Zeeland
Belfeld;5950?951;Venlo;Limburg
Belgenhoek;5985?985;Peel en Maas;Limburg
Belgeren;5756?756;Deurne;Noord-Brabant
Bellingwolde;9695?695;Bellingwedde;Groningen
Beltrum;7156?156;Berkelland;Gelderland
Belt-Schutsloot;8066?066;Steenwijkerland;Overijssel
Belvert;5076?076;Haaren;Noord-Brabant
Bemelen;6268?268;Eijsden-Margraten;Limburg
Bemmel;6680?681;Lingewaard;Gelderland
Bemmer;5741?741;Laarbeek;Noord-Brabant
Benderse;7963?963;De Wolden;Drenthe
Beneden Veensloot;9651?651;Menterwolde;Groningen
Benedenberg;2861?861;Krimpenerwaard;Zuid-Holland
Benedeneind;6718?718;Ede;Gelderland
Benedeneind;5394?394;Oss;Noord-Brabant
Beneden-Haastrecht;2851?851;Krimpenerwaard;Zuid-Holland
Benedenheul;2821?821;Krimpenerwaard;Zuid-Holland
Benedenkerk;2821?821;Krimpenerwaard;Zuid-Holland
Beneden-Leeuwen;6658?658;West Maas en Waal;Gelderland
Bennebroek;2120?121;Bloemendaal;Noord-Holland
Bennekom;6720?721;Ede;Gelderland
Benneveld;7856?856;Coevorden;Drenthe
Benningbroek;1654?654;Medemblik;Noord-Holland
Benschop;3405?405;Lopik;Utrecht
Bent;2391?391;Alphen aan den Rijn;Zuid-Holland
Bentelo;7497?497;Hof van Twente;Overijssel
Benthem;5761?761;Gemert-Bakel;Noord-Brabant
Benthuizen;2730?731;Alphen aan den Rijn;Zuid-Holland
Bentveld;2116?116;Zandvoort;Noord-Holland
Benzenrade;6419?419;Heerlen;Limburg
Berenbroek;5707?707;Helmond;Noord-Brabant
Berg;6028?028;Cranendonck;Noord-Brabant
Berg;6267?267;Eijsden-Margraten;Limburg
Berg;5768?768;Peel en Maas;Limburg
Berg (?);6325?325;Valkenburg aan de Geul;Limburg
Berg aan de Maas / Berg (?);6129?129;Stein;Limburg
Berg en Dal;6570?571;Groesbeek;Gelderland
Berg en Dal;6572?572;Groesbeek;Gelderland
Bergakker;4013?013;Tiel;Gelderland
Bergambacht;2860?861;Krimpenerwaard;Zuid-Holland
Bergen;1860?862;Bergen;Noord-Holland
Bergen;5854?854;Bergen;Limburg
Bergen aan Zee;1865?865;Bergen;Noord-Holland
Bergen op Zoom;4600?625;Bergen op Zoom;Noord-Brabant
Bergenhuizen;6255?255;Eijsden-Margraten;Limburg
Bergenshuizen;5262?262;Vught;Noord-Brabant
Bergentheim;7690?691;Hardenberg;Overijssel
Bergerden;6681?681;Lingewaard;Gelderland
Bergharen;6617?617;Wijchen;Gelderland
Berghem;6271?271;Gulpen-Wittem;Limburg
Berghem;5350?351;Oss;Noord-Brabant
Berghuizen;7961?961;De Wolden;Drenthe
Berghuizen;6627?627;West Maas en Waal;Gelderland
Berghum;7591?591;Dinkelland;Overijssel
Bergsche Heide;5854?854;Bergen;Limburg
Bergschenhoek;2661?662;Lansingerland;Zuid-Holland
Bergstoep;2861?861;Krimpenerwaard;Zuid-Holland
Berik;6082?082;Leudal;Limburg
Beringe;5986?986;Peel en Maas;Limburg
Berkeind;5032?032;Tilburg;Noord-Brabant
Berkeindje;5715?715;Someren;Noord-Brabant
Berkel en Rodenrijs;2651?652;Lansingerland;Zuid-Holland
Berkelaar;6101?101;Echt-Susteren;Limburg
Berkel-Enschot;5056?056;Tilburg;Noord-Brabant
Berkenwoude;2825?825;Krimpenerwaard;Zuid-Holland
Berkhoek;5427?427;Boekel;Noord-Brabant
Berkhoek;5071?071;Tilburg;Noord-Brabant
Berkhout;1647?647;Koggenland;Noord-Holland
Berkt;5384?384;Bernheze;Noord-Brabant
Berkt;5508?508;Veldhoven;Noord-Brabant
Berlicum;5258?258;Sint-Michielsgestel;Noord-Brabant
Berlikum;9040?041;Menameradiel;Frysl?
Bern;5318?318;Zaltbommel;Gelderland
Besselaar;5294?294;Sint-Michielsgestel;Noord-Brabant
Best;5680?684;Best;Noord-Brabant
Besthmen;7731?731;Ommen;Overijssel
Beswerd;9891?891;Winsum;Groningen
Bethlehem;9998?998;Eemsmond;Groningen
Betterwird;9101?101;Dongeradeel;Frysl?
Beugen;5835?835;Boxmeer;Noord-Brabant
Beugt;5473?473;Bernheze;Noord-Brabant
Beukelaar;5463?463;Veghel;Noord-Brabant
Beuningen;6640?642;Beuningen;Gelderland
Beuningen;7588?588;Losser;Overijssel
Beusbergen;7475?475;Hof van Twente;Overijssel
Beuseberg;7451?451;Rijssen-Holten;Overijssel
Beusichem;4112?112;Buren;Gelderland
Beutenaken;6278?278;Gulpen-Wittem;Limburg
Bevermeer;6986?986;Zevenaar;Gelderland
Beverwijk;1940?948;Beverwijk;Noord-Holland
Biddinghuizen;8256?256;Dronten;Flevoland
Biert;3212?212;Nissewaard;Zuid-Holland
Bierum;9906?906;Delfzijl;Groningen
Biervliet;4521?522;Terneuzen;Zeeland
Biesstraat;6093?093;Leudal;Limburg
Biessum;9931?931;Delfzijl;Groningen
Biesthoek;5408?408;Uden;Noord-Brabant
Biestraat;5126?126;Gilze en Rijen;Noord-Brabant
Biezelinge;4421?421;Kapelle;Zeeland
Biezen;4529?529;Sluis;Zeeland
Biezenheuvel;5528?528;Bladel;Noord-Brabant
Biezenmortel;5074?074;Haaren;Noord-Brabant
Biggekerke;4373?373;Veere;Zeeland
Bijsteren;3882?882;Putten;Gelderland
Bijsterveld;5513?513;Eersel;Noord-Brabant
Bikkershorn;9678?678;Oldambt;Groningen
Bilderdam;2451?451;Kaag en Braassem;Zuid-Holland
Billinghuizen;6271?271;Gulpen-Wittem;Limburg
Bilt;6107?107;Maasgouw;Limburg
Bilthoven;3720?723;De Bilt;Utrecht
Bingelrade;6456?456;Onderbanken;Limburg
Bingerden;6986?986;Zevenaar;Gelderland
